id,name,breed,ageYears,gender,weightKg,coatColor,personality,vaccinated,neutered,vaccinationStatus,neuteredStatus,city,description,adoptionStatus
"bichon-01","棉花糖","比熊","1","男生","4.5","奶白","亲人黏人","false","false","待补疫苗纪录","绝育状态待更新","台北","棉花糖是一只亲人黏人的比熊，目前在台北等待新的家庭，已完成基础救援安置。","available"
"bichon-02","白玉","比熊","1.5","女生","5.8","雪白","安静温柔","true","true","已完成疫苗纪录","已完成绝育","新北","白玉是一只安静温柔的比熊，目前在新北等待新的家庭，已完成基础救援安置。","available"
"bichon-03","雪球","比熊","2","男生","7.1","米白","爱撒娇","true","true","已完成疫苗纪录","已完成绝育","桃园","雪球是一只爱撒娇的比熊，目前在桃园等待新的家庭，已完成基础救援安置。","available"
"bichon-04","奶酪","比熊","2.5","女生","8.4","奶白","喜欢陪伴","true","false","已完成疫苗纪录","绝育状态待更新","台中","奶酪是一只喜欢陪伴的比熊，目前在台中等待新的家庭，已完成基础救援安置。","available"
"bichon-05","麻糬","比熊","3","男生","4.5","雪白","亲人黏人","true","true","已完成疫苗纪录","已完成绝育","台南","麻糬是一只亲人黏人的比熊，目前在台南等待新的家庭，已完成基础救援安置。","available"
"bichon-06","豆花","比熊","3.5","女生","5.8","米白","安静温柔","false","true","待补疫苗纪录","已完成绝育","高雄","豆花是一只安静温柔的比熊，目前在高雄等待新的家庭，已完成基础救援安置。","available"
"bichon-07","糖糖","比熊","4","男生","7.1","奶白","爱撒娇","true","false","已完成疫苗纪录","绝育状态待更新","新竹","糖糖是一只爱撒娇的比熊，目前在新竹等待新的家庭，已完成基础救援安置。","available"
"bichon-08","米露","比熊","4.5","女生","8.4","雪白","喜欢陪伴","true","true","已完成疫苗纪录","已完成绝育","基隆","米露是一只喜欢陪伴的比熊，目前在基隆等待新的家庭，已完成基础救援安置。","available"
"bichon-09","沐沐","比熊","5","男生","4.5","米白","亲人黏人","true","true","已完成疫苗纪录","已完成绝育","台北","沐沐是一只亲人黏人的比熊，目前在台北等待新的家庭，已完成基础救援安置。","available"
"bichon-10","小圆","比熊","1","女生","5.8","奶白","安静温柔","true","false","已完成疫苗纪录","绝育状态待更新","新北","小圆是一只安静温柔的比熊，目前在新北等待新的家庭，已完成基础救援安置。","available"
